"system","code","display","likely","preop","transplant","rejection","failure","outcome","lab","imaging","count_sum"
"http://www.ama-assn.org/go/cpt","0018M","Measurement of kidney donor and third-party-induced CD154+T-cytotoxic memory cells in whole peripheral blood specimen, algorithm reported as kidney transplant rejection risk score",,"true",,,,,,,"1"
"http://www.ama-assn.org/go/cpt","00862","Anesthesia for procedure on upper urinary tubes or removal of kidney for transplant",,"true",,,,,,,"1"
"http://www.ama-assn.org/go/cpt","00868","Anesthesia for kidney transplant",,"true",,,,,,,"1"
"http://www.ama-assn.org/go/cpt","0088U","Microarray gene expression profiling of 1494 genes in allograft kidney transplant biopsy tissue, algorithm reported as a probability score for rejection",,,,,,,"true",,"1"
"http://www.ama-assn.org/go/cpt","0319U","RNA expression by select transcriptome sequencing in pre-kidney transplant peripheral blood specimen, algorithm reported as risk score for early acute rejection","true",,,,,,,,"1"
"http://www.ama-assn.org/go/cpt","0320U","RNA expression by select transcriptome sequencing in post-kidney transplant peripheral blood specimen, algorithm reported as risk score for acute cellular rejection of transplanted kidney",,,,,,,"true",,"1"
"http://www.ama-assn.org/go/cpt","1008104","Backbench reconstruction of cadaver or living donor renal allograft prior to transplantation",,"true",,,,,,,"1"
"http://www.ama-assn.org/go/cpt","50323","BKBENCH PREPJ CADAVER DONOR RENAL ALLOGRAFT",,"true",,,,,,,"1"
"http://www.ama-assn.org/go/cpt","50323","Backbench standard preparation of cadaver donor renal allograft prior to transplantation, including dissection and removal of perinephric fat, diaphragmatic and retroperitoneal attachments, excision of adrenal gland, and preparation of ureter(s), renal vein(s), and renal artery(s), ligating branches, as necessary","true",,,,,,,,"1"
"http://www.ama-assn.org/go/cpt","50323","Preparation of donor kidney for transplantation",,"true",,,,,,,"1"
"http://www.ama-assn.org/go/cpt","50325","PREP DONOR RENAL GRAFT",,"true",,,,,,,"1"
"http://www.ama-assn.org/go/cpt","50325","Preparation of living donor kidney for transplantation",,"true",,,,,,,"1"
"http://www.ama-assn.org/go/cpt","50327","PREP RENAL GRAFT/VENOUS",,"true",,,,,,,"1"
"http://www.ama-assn.org/go/cpt","50328","PREP RENAL GRAFT/ARTERIAL",,"true",,,,,,,"1"
"http://www.ama-assn.org/go/cpt","50329","PREP RENAL GRAFT/URETERAL",,"true",,,,,,,"1"
"http://www.ama-assn.org/go/cpt","50360","Implantation of renal allograft",,,"true",,,,,,"1"
"http://www.ama-assn.org/go/cpt","50365","Implantation of renal allograft with recipient nephrectomy",,,"true",,,,,,"1"
"http://www.ama-assn.org/go/cpt","50370","Removal of previously transplanted donor kidney",,,,,"true",,,,"1"
"http://www.ama-assn.org/go/cpt","76776","Ultrasound scan of transplanted kidney",,,,,,,,"true","1"
"http://www.ama-assn.org/go/cpt","81558","Test for detecting 139 genes associated with kidney transplant rejection",,,,,,,"true",,"1"
"http://hl7.org/fhir/sid/icd-10-cm","T86.1","Complications of kidney transplant",,,,,,"true",,,"1"
"http://hl7.org/fhir/sid/icd-10-cm","T86.10","Unspecified complication of kidney transplant",,,,,,"true",,,"1"
"http://hl7.org/fhir/sid/icd-10-cm","T86.11","Kidney transplant rejection",,,,"true",,,,,"1"
"http://hl7.org/fhir/sid/icd-10-cm","T86.12","Kidney transplant failure",,,,,"true",,,,"1"
"http://hl7.org/fhir/sid/icd-10-cm","T86.13","Kidney transplant infection",,,,,,"true",,,"1"
"http://hl7.org/fhir/sid/icd-10-cm","T86.19","Other complication of kidney transplant",,,,,,"true",,,"1"
"http://hl7.org/fhir/sid/icd-10-cm","Z48.22","Encounter for aftercare following kidney transplant",,,"true",,,,,,"1"
"http://hl7.org/fhir/sid/icd-10-cm","Z94.0","Kidney transplant status",,,"true",,,,,,"1"
"http://www.cms.gov/Medicare/Coding/ICD10","0TY0","Medical and Surgical @ Urinary System @ Transplantation @ Kidney, Right",,,"true",,,,,,"1"
"http://www.cms.gov/Medicare/Coding/ICD10","0TY00","Medical and Surgical @ Urinary System @ Transplantation @ Kidney, Right @ Open",,,"true",,,,,,"1"
"http://www.cms.gov/Medicare/Coding/ICD10","0TY00Z","Medical and Surgical @ Urinary System @ Transplantation @ Kidney, Right @ Open @ No Device",,,"true",,,,,,"1"
"http://www.cms.gov/Medicare/Coding/ICD10","0TY00Z0","Transplantation of Right Kidney, Allogeneic, Open Approach",,,"true",,,,,,"1"
"http://www.cms.gov/Medicare/Coding/ICD10","0TY00Z1","Transplantation of Right Kidney, Syngeneic, Open Approach",,,"true",,,,,,"1"
"http://www.cms.gov/Medicare/Coding/ICD10","0TY00Z2","Medical and Surgical @ Urinary System @ Transplantation @ Kidney, Right @ Open @ No Device @ Zooplastic",,,"true",,,,,,"1"
"http://www.cms.gov/Medicare/Coding/ICD10","0TY1","Medical and Surgical @ Urinary System @ Transplantation @ Kidney, Left",,,"true",,,,,,"1"
"http://www.cms.gov/Medicare/Coding/ICD10","0TY10","Medical and Surgical @ Urinary System @ Transplantation @ Kidney, Left @ Open",,,"true",,,,,,"1"
"http://www.cms.gov/Medicare/Coding/ICD10","0TY10Z","Medical and Surgical @ Urinary System @ Transplantation @ Kidney, Left @ Open @ No Device",,,"true",,,,,,"1"
"http://www.cms.gov/Medicare/Coding/ICD10","0TY10Z0","Transplantation of Left Kidney, Allogeneic, Open Approach",,,"true",,,,,,"1"
"http://www.cms.gov/Medicare/Coding/ICD10","0TY10Z1","Transplantation of Left Kidney, Syngeneic, Open Approach",,,"true",,,,,,"1"
"http://www.cms.gov/Medicare/Coding/ICD10","B40M","Imaging @ Lower Arteries @ Plain Radiography @ Renal Artery Transplant",,,,,,,,"true","1"
"http://www.cms.gov/Medicare/Coding/ICD10","B40M0","Imaging @ Lower Arteries @ Plain Radiography @ Renal Artery Transplant @ High Osmolar",,,,,,,,"true","1"
"http://www.cms.gov/Medicare/Coding/ICD10","B40M0Z","Imaging @ Lower Arteries @ Plain Radiography @ Renal Artery Transplant @ High Osmolar @ None",,,,,,,,"true","1"
"http://www.cms.gov/Medicare/Coding/ICD10","B40M0ZZ","Plain Radiography of Renal Artery Transplant using High Osmolar Contrast",,,,,,,,"true","1"
"http://www.cms.gov/Medicare/Coding/ICD10","B40M1","Imaging @ Lower Arteries @ Plain Radiography @ Renal Artery Transplant @ Low Osmolar",,,,,,,,"true","1"
"http://www.cms.gov/Medicare/Coding/ICD10","B40M1Z","Imaging @ Lower Arteries @ Plain Radiography @ Renal Artery Transplant @ Low Osmolar @ None",,,,,,,,"true","1"
"http://www.cms.gov/Medicare/Coding/ICD10","B40M1ZZ","Plain Radiography of Renal Artery Transplant using Low Osmolar Contrast",,,,,,,,"true","1"
"http://www.cms.gov/Medicare/Coding/ICD10","B40MYZZ","Plain Radiography of Renal Art Transplant using Oth Contrast",,,,,,,,"true","1"
"http://www.cms.gov/Medicare/Coding/ICD10","B42M","Imaging @ Lower Arteries @ Computerized Tomography (CT Scan) @ Renal Artery Transplant",,,,,,,,"true","1"
"http://www.cms.gov/Medicare/Coding/ICD10","B42M0","Imaging @ Lower Arteries @ Computerized Tomography (CT Scan) @ Renal Artery Transplant @ High Osmolar",,,,,,,,"true","1"
"http://www.cms.gov/Medicare/Coding/ICD10","B42M0Z","Imaging @ Lower Arteries @ Computerized Tomography (CT Scan) @ Renal Artery Transplant @ High Osmolar @ None",,,,,,,,"true","1"
"http://www.cms.gov/Medicare/Coding/ICD10","B42M0ZZ","Computerized Tomography (CT Scan) of Renal Artery Transplant using High Osmolar Contrast",,,,,,,,"true","1"
"http://www.cms.gov/Medicare/Coding/ICD10","B42M1","Imaging @ Lower Arteries @ Computerized Tomography (CT Scan) @ Renal Artery Transplant @ Low Osmolar",,,,,,,,"true","1"
"http://www.cms.gov/Medicare/Coding/ICD10","B42M1Z","Imaging @ Lower Arteries @ Computerized Tomography (CT Scan) @ Renal Artery Transplant @ Low Osmolar @ None",,,,,,,,"true","1"
"http://www.cms.gov/Medicare/Coding/ICD10","B42M1ZZ","Computerized Tomography (CT Scan) of Renal Artery Transplant using Low Osmolar Contrast",,,,,,,,"true","1"
"http://www.cms.gov/Medicare/Coding/ICD10","B42MY","Imaging @ Lower Arteries @ Computerized Tomography (CT Scan) @ Renal Artery Transplant @ Other Contrast",,,,,,,,"true","1"
"http://www.cms.gov/Medicare/Coding/ICD10","B42MYZ","Imaging @ Lower Arteries @ Computerized Tomography (CT Scan) @ Renal Artery Transplant @ Other Contrast @ None",,,,,,,,"true","1"
"http://www.cms.gov/Medicare/Coding/ICD10","B42MYZZ","Computerized Tomography (CT Scan) of Renal Artery Transplant using Other Contrast",,,,,,,,"true","1"
"http://www.cms.gov/Medicare/Coding/ICD10","B42MZ","Imaging @ Lower Arteries @ Computerized Tomography (CT Scan) @ Renal Artery Transplant @ None",,,,,,,,"true","1"
"http://www.cms.gov/Medicare/Coding/ICD10","B42MZ2","Imaging @ Lower Arteries @ Computerized Tomography (CT Scan) @ Renal Artery Transplant @ None @ Intravascular Optical Coherence",,,,,,,,"true","1"
"http://www.cms.gov/Medicare/Coding/ICD10","B42MZ2Z","Computerized Tomography (CT Scan) of Renal Artery Transplant using Intravascular Optical Coherence",,,,,,,,"true","1"
"http://www.cms.gov/Medicare/Coding/ICD10","B42MZZZ","Computerized Tomography (CT Scan) of Renal Artery Transplant",,,,,,,,"true","1"
"http://www.cms.gov/Medicare/Coding/ICD10","BT29","Imaging @ Urinary System @ Computerized Tomography (CT Scan) @ Kidney Transplant",,,,,,,,"true","1"
"http://www.cms.gov/Medicare/Coding/ICD10","BT290","Imaging @ Urinary System @ Computerized Tomography (CT Scan) @ Kidney Transplant @ High Osmolar",,,,,,,,"true","1"
"http://www.cms.gov/Medicare/Coding/ICD10","BT2900","Imaging @ Urinary System @ Computerized Tomography (CT Scan) @ Kidney Transplant @ High Osmolar @ Unenhanced and Enhanced",,,,,,,,"true","1"
"http://www.cms.gov/Medicare/Coding/ICD10","BT2900Z","Computerized Tomography (CT Scan) of Kidney Transplant using High Osmolar Contrast, Unenhanced and Enhanced",,,,,,,,"true","1"
"http://www.cms.gov/Medicare/Coding/ICD10","BT290Z","Imaging @ Urinary System @ Computerized Tomography (CT Scan) @ Kidney Transplant @ High Osmolar @ None",,,,,,,,"true","1"
"http://www.cms.gov/Medicare/Coding/ICD10","BT290ZZ","CT Scan of Kidney Transplant using H Osm Contrast",,,,,,,,"true","1"
"http://www.cms.gov/Medicare/Coding/ICD10","BT291","Imaging @ Urinary System @ Computerized Tomography (CT Scan) @ Kidney Transplant @ Low Osmolar",,,,,,,,"true","1"
"http://www.cms.gov/Medicare/Coding/ICD10","BT2910","Imaging @ Urinary System @ Computerized Tomography (CT Scan) @ Kidney Transplant @ Low Osmolar @ Unenhanced and Enhanced",,,,,,,,"true","1"
"http://www.cms.gov/Medicare/Coding/ICD10","BT2910Z","CT Scan Kidney Transplant w L Osm Contrast, Unenh, Enhance",,,,,,,,"true","1"
"http://www.cms.gov/Medicare/Coding/ICD10","BT291Z","Imaging @ Urinary System @ Computerized Tomography (CT Scan) @ Kidney Transplant @ Low Osmolar @ None",,,,,,,,"true","1"
"http://www.cms.gov/Medicare/Coding/ICD10","BT291ZZ","CT Scan of Kidney Transplant using L Osm Contrast",,,,,,,,"true","1"
"http://www.cms.gov/Medicare/Coding/ICD10","BT29Y","Imaging @ Urinary System @ Computerized Tomography (CT Scan) @ Kidney Transplant @ Other Contrast",,,,,,,,"true","1"
"http://www.cms.gov/Medicare/Coding/ICD10","BT29Y0Z","Computerized Tomography (CT Scan) of Kidney Transplant using Other Contrast, Unenhanced and Enhanced",,,,,,,,"true","1"
"http://www.cms.gov/Medicare/Coding/ICD10","BT29YZ","Imaging @ Urinary System @ Computerized Tomography (CT Scan) @ Kidney Transplant @ Other Contrast @ None",,,,,,,,"true","1"
"http://www.cms.gov/Medicare/Coding/ICD10","BT29YZZ","CT Scan of Kidney Transplant using Oth Contrast",,,,,,,,"true","1"
"http://www.cms.gov/Medicare/Coding/ICD10","BT29Z","Imaging @ Urinary System @ Computerized Tomography (CT Scan) @ Kidney Transplant @ None",,,,,,,,"true","1"
"http://www.cms.gov/Medicare/Coding/ICD10","BT29ZZZ","Computerized Tomography (CT Scan) of Kidney Transplant",,,,,,,,"true","1"
"http://www.cms.gov/Medicare/Coding/ICD10","BT39","Imaging @ Urinary System @ Magnetic Resonance Imaging (MRI) @ Kidney Transplant",,,,,,,,"true","1"
"http://www.cms.gov/Medicare/Coding/ICD10","BT39Y","Imaging @ Urinary System @ Magnetic Resonance Imaging (MRI) @ Kidney Transplant @ Other Contrast",,,,,,,,"true","1"
"http://www.cms.gov/Medicare/Coding/ICD10","BT39Y0","Imaging @ Urinary System @ Magnetic Resonance Imaging (MRI) @ Kidney Transplant @ Other Contrast @ Unenhanced and Enhanced",,,,,,,,"true","1"
"http://www.cms.gov/Medicare/Coding/ICD10","BT39Y0Z","MRI of Kidney Transplant using Oth Contrast, Unenh, Enhance",,,,,,,,"true","1"
"http://www.cms.gov/Medicare/Coding/ICD10","BT39YZ","Imaging @ Urinary System @ Magnetic Resonance Imaging (MRI) @ Kidney Transplant @ Other Contrast @ None",,,,,,,,"true","1"
"http://www.cms.gov/Medicare/Coding/ICD10","BT39YZZ","MRI of Kidney Transplant using Oth Contrast",,,,,,,,"true","1"
"http://www.cms.gov/Medicare/Coding/ICD10","BT39Z","Imaging @ Urinary System @ Magnetic Resonance Imaging (MRI) @ Kidney Transplant @ None",,,,,,,,"true","1"
"http://www.cms.gov/Medicare/Coding/ICD10","BT39ZZZ","Magnetic Resonance Imaging (MRI) of Kidney Transplant",,,,,,,,"true","1"
"http://www.cms.gov/Medicare/Coding/ICD10","BT49","Imaging @ Urinary System @ Ultrasonography @ Kidney Transplant",,,,,,,,"true","1"
"http://www.cms.gov/Medicare/Coding/ICD10","BT49Z","Imaging @ Urinary System @ Ultrasonography @ Kidney Transplant @ None",,,,,,,,"true","1"
"http://www.cms.gov/Medicare/Coding/ICD10","BT49ZZZ","Ultrasonography of Kidney Transplant",,,,,,,,"true","1"
"http://hl7.org/fhir/sid/icd-9-cm","55.53","Removal of transplanted or rejected kidney",,,,,"true",,,,"1"
"http://hl7.org/fhir/sid/icd-9-cm","55.6","Transplant of kidney",,,"true",,,,,,"1"
"http://hl7.org/fhir/sid/icd-9-cm","55.69","Other kidney transplantation",,,"true",,,,,,"1"
"http://hl7.org/fhir/sid/icd-9-cm","996.73","Other complications due to renal dialysis device, implant, and graft",,,,,,"true",,,"1"
"http://hl7.org/fhir/sid/icd-9-cm","996.81","Complications of transplanted kidney",,,,,,"true",,,"1"
"http://hl7.org/fhir/sid/icd-9-cm","V42.0","Kidney transplant status",,,"true",,,,,,"1"
"http://snomed.info/sct","113127005","Kidney transplant evaluation (procedure)","true",,,,,,,,"1"
"http://snomed.info/sct","1144941009","Chronic tubulointerstitial nephritis following renal transplantation",,,,,,"true",,,"1"
"http://snomed.info/sct","122531000119108","Lymphoproliferative disorder following kidney transplant",,,,,,"true",,,"1"
"http://snomed.info/sct","1255577005","Recurrent glomerulonephritis following renal transplant",,,,,,"true",,,"1"
"http://snomed.info/sct","1255627000","BK virus nephropathy post-kidney transplant",,,,,,"true",,,"1"
"http://snomed.info/sct","1263485003","Acquired cystic disease of transplanted kidney",,,,,,"true",,,"1"
"http://snomed.info/sct","1264001009","De novo thrombotic microangiopathy after kidney transplantation",,,,,,"true",,,"1"
"http://snomed.info/sct","128571000119108","Neoplasm following transplantation of kidney",,,,,,"true",,,"1"
"http://snomed.info/sct","128621000119106","Acute on chronic graft versus host disease following transplant of kidney",,,,,,"true",,,"1"
"http://snomed.info/sct","128631000119109","Chronic graft-versus-host disease following kidney transplant",,,,,,"true",,,"1"
"http://snomed.info/sct","128641000119100","Acute graft versus host disease due to kidney transplant",,,,,,"true",,,"1"
"http://snomed.info/sct","128651000119103","Graft versus host disease due to kidney transplant",,,,,,"true",,,"1"
"http://snomed.info/sct","1290258003","Structure of transplanted kidney in right iliac fossa region of abdomen",,,"true",,,,,,"1"
"http://snomed.info/sct","1293269004","Biopsy of transplanted kidney",,,,,,,"true",,"1"
"http://snomed.info/sct","1333888002","Antegrade insertion of stent into left ureter of transplanted kidney using fluoroscopic guidance",,,"true",,,,,,"1"
"http://snomed.info/sct","1333889005","Antegrade insertion of stent into right ureter of transplanted kidney using fluoroscopic guidance",,,"true",,,,,,"1"
"http://snomed.info/sct","1333890001","Antegrade insertion of stent into both ureter of transplanted kidneys using fluoroscopic guidance",,,"true",,,,,,"1"
"http://snomed.info/sct","1334060000","Retrograde insertion of stent into left ureter of transplanted kidney using fluoroscopic guidance",,,"true",,,,,,"1"
"http://snomed.info/sct","1334061001","Retrograde insertion of stent into right ureter of transplanted kidney using fluoroscopic guidance",,,"true",,,,,,"1"
"http://snomed.info/sct","1334062008","Retrograde insertion of stent into bilateral ureters of transplanted kidney using fluoroscopic guidance",,,"true",,,,,,"1"
"http://snomed.info/sct","1334075008","Ultrasonography of transplanted left kidney with contrast",,,,,,,,"true","1"
"http://snomed.info/sct","1334076009","Ultrasonography of transplanted right kidney with contrast",,,,,,,,"true","1"
"http://snomed.info/sct","1334077000","Ultrasonography of transplanted bilateral kidneys with contrast",,,,,,,,"true","1"
"http://snomed.info/sct","1339028005","CT angiography of transplanted renal artery with contrast",,,,,,,,"true","1"
"http://snomed.info/sct","1344862006","Fluoroscopy guided percutaneous transluminal angioplasty of renal transplant with contrast",,,,,,,,"true","1"
"http://snomed.info/sct","145781000119106","Infection of transplanted kidney",,,,,,"true",,,"1"
"http://snomed.info/sct","152210002","Renal transplant planned (situation)","true",,,,,,,,"1"
"http://snomed.info/sct","161665007","History of renal transplant (situation)",,,"true",,,,,,"1"
"http://snomed.info/sct","1721000119108","Patient awaiting renal transplant","true",,,,,,,,"1"
"http://snomed.info/sct","175948009","Exploration of renal transplant (procedure)",,,,,,"true",,,"1"
"http://snomed.info/sct","183985008","Renal transplant planned (situation)","true",,,,,,,,"1"
"http://snomed.info/sct","197747000","Renal tubulo-interstitial disorders in transplant rejection",,,,,,"true",,,"1"
"http://snomed.info/sct","198519003","Renal tubulo-interstitial disorders in transplant rejection",,,,,,"true",,,"1"
"http://snomed.info/sct","213147001","(Transplanted organ failure) or (deteriorating renal function after renal transplant) (disorder)",,,,,,"true",,,"1"
"http://snomed.info/sct","213150003","Kidney transplant failure and rejection",,,,,"true",,,,"1"
"http://snomed.info/sct","217024004","Transplantation of kidney as the cause of abnormal reaction of patient, or of later complication, without mention of misadventure at the time of operation (disorder)",,,,,,"true",,,"1"
"http://snomed.info/sct","23137002","Anaesthesia for renal transplant, recipient",,"true",,,,,,,"1"
"http://snomed.info/sct","234046009","Transplant renal vein thrombosis",,,,,,"true",,,"1"
"http://snomed.info/sct","236436003","End stage renal failure with renal transplant",,,"true",,,,,,"1"
"http://snomed.info/sct","236568008","Kidney transplant disorder",,,,,,"true",,,"1"
"http://snomed.info/sct","236569000","Primary non-function of renal transplant",,,,,,"true",,,"1"
"http://snomed.info/sct","236570004","Renal transplant rejection",,,,"true",,,,,"1"
"http://snomed.info/sct","236571000","Hyperacute rejection of renal transplant",,,,"true",,,,,"1"
"http://snomed.info/sct","236572007","Accelerated rejection of renal transplant",,,,"true",,,,,"1"
"http://snomed.info/sct","236573002","Very mild acute rejection of renal transplant",,,,"true",,,,,"1"
"http://snomed.info/sct","236574008","Acute rejection of renal transplant",,,,"true",,,,,"1"
"http://snomed.info/sct","236575009","Acute rejection of renal transplant - grade I",,,,"true",,,,,"1"
"http://snomed.info/sct","236576005","Acute rejection of renal transplant - grade II",,,,"true",,,,,"1"
"http://snomed.info/sct","236577001","Acute rejection of renal transplant - grade III",,,,"true",,,,,"1"
"http://snomed.info/sct","236578006","Chronic rejection of renal transplant",,,,"true",,,,,"1"
"http://snomed.info/sct","236579003","Chronic rejection of renal transplant - grade 1",,,,"true",,,,,"1"
"http://snomed.info/sct","236580000","Chronic rejection of renal transplant - grade II",,,,"true",,,,,"1"
"http://snomed.info/sct","236581001","Chronic rejection of renal transplant - grade III",,,,"true",,,,,"1"
"http://snomed.info/sct","236582008","Acute-on-chronic rejection of renal transplant",,,,"true",,,,,"1"
"http://snomed.info/sct","236584009","Perfusion injury of renal transplant",,,,,,"true",,,"1"
"http://snomed.info/sct","236614007","Perirenal and periureteric post-transplant lymphocele",,,,,,"true",,,"1"
"http://snomed.info/sct","241249008","Renal transplant arteriogram",,,,,,,,"true","1"
"http://snomed.info/sct","241484009","US scan of transplant kidney",,,,,,,,"true","1"
"http://snomed.info/sct","26056000","Removal of transplanted kidney",,,,,"true",,,,"1"
"http://snomed.info/sct","265550007","Removal of transplanted kidney",,,,,"true",,,,"1"
"http://snomed.info/sct","277010001","Unexplained episode of renal transplant dysfunction",,,,,,"true",,,"1"
"http://snomed.info/sct","277011002","Pre-existing disease in renal transplant",,,,,,"true",,,"1"
"http://snomed.info/sct","284348003","Excision of rejected transplanted kidney (procedure)",,,,,"true",,,,"1"
"http://snomed.info/sct","286624003","Allograft kidney (substance)",,,"true",,,,,,"1"
"http://snomed.info/sct","286625002","Cadaver allogeneic transplant kidney (substance)",,,"true",,,,,,"1"
"http://snomed.info/sct","286626001","Live donor allogeneic transplant kidney (substance)",,,"true",,,,,,"1"
"http://snomed.info/sct","313030004","Donor renal transplantation (procedure)","true",,,,,,,,"1"
"http://snomed.info/sct","316054003","[V]Kidney transplanted (situation)",,,"true",,,,,,"1"
"http://snomed.info/sct","419139005","Fluoroscopic angiography of renal transplant",,,,,,,,"true","1"
"http://snomed.info/sct","419224002","Angioplasty of renal transplant using fluoroscopic guidance with contrast",,,,,,"true",,,"1"
"http://snomed.info/sct","420106004","Fluoroscopic venography of renal transplant (procedure)",,,,,,"true",,,"1"
"http://snomed.info/sct","420852008","Kidney graft - material (substance)",,,"true",,,,,,"1"
"http://snomed.info/sct","420852008","Transplant kidney (substance)",,,"true",,,,,,"1"
"http://snomed.info/sct","420970005","Donor kidney graft (substance)","true",,,,,,,,"1"
"http://snomed.info/sct","420970005","Donor transplant kidney (substance)","true",,,,,,,,"1"
"http://snomed.info/sct","426136000","Delayed kidney graft function",,,,,,"true",,,"1"
"http://snomed.info/sct","428575007","Hypertension secondary to kidney transplant",,,"true",,,,,,"1"
"http://snomed.info/sct","428629007","Pretransplant evaluation of live kidney donor","true",,,,,,,,"1"
"http://snomed.info/sct","428645009","Examination of recipient after kidney transplant (procedure)",,,,,,"true",,,"1"
"http://snomed.info/sct","429451003","Disorder related to renal transplantation",,,,,,"true",,,"1"
"http://snomed.info/sct","429496005","Examination of live donor after kidney transplant","true",,,,,,,,"1"
"http://snomed.info/sct","429933006","Fluoroscopy guided percutaneous transluminal cutting balloon angioplasty of transplanted renal artery with contrast",,,,,,"true",,,"1"
"http://snomed.info/sct","430403008","Percutaneous transluminal angioplasty of transplanted renal artery using fluoroscopic guidance",,,,,,"true",,,"1"
"http://snomed.info/sct","431988002","Doppler ultrasonography (US) of transplanted kidney",,,,,,,,"true","1"
"http://snomed.info/sct","433688005","Percutaneous thrombolysis of transplanted renal artery using fluoroscopic guidance",,,,,,"true",,,"1"
"http://snomed.info/sct","433802006","Fluoroscopic angiography of transplanted renal artery using contrast with insertion of stent",,,,,,"true",,,"1"
"http://snomed.info/sct","438661003","Specimen from transplanted kidney obtained by biopsy",,,,,,,"true",,"1"
"http://snomed.info/sct","438804005","Tissue specimen from transplanted kidney (specimen)",,,,,,,"true",,"1"
"http://snomed.info/sct","440449002","MR angiography of transplanted kidney",,,,,,,,"true","1"
"http://snomed.info/sct","440512006","Biopsy of transplanted kidney using ultrasound guidance",,,,,,,"true",,"1"
"http://snomed.info/sct","443578000","Radionuclide imaging of transplanted kidney",,,,,,,,"true","1"
"http://snomed.info/sct","473195006","Normal renal function of transplanted kidney (finding)",,,"true",,,,,,"1"
"http://snomed.info/sct","49201000175103","On waiting list for renal transplant (finding)","true",,,,,,,,"1"
"http://snomed.info/sct","58797008","Complication of transplanted kidney",,,,,,"true",,,"1"
"http://snomed.info/sct","6501000179109","Laparoscopic biopsy of transplanted kidney",,,,,,,"true",,"1"
"http://snomed.info/sct","697982000","Referral to surgical transplant service for renal transplant evaluation (procedure)","true",,,,,,,,"1"
"http://snomed.info/sct","698306007","Awaiting renal transplant","true",,,,,,,,"1"
"http://snomed.info/sct","698306007","Awaiting transplantation of kidney (situation)","true",,,,,,,,"1"
"http://snomed.info/sct","703048006","Vesicoureteric reflux after renal transplant (disorder)",,,,,,"true",,,"1"
"http://snomed.info/sct","707148007","Recurrent post-transplant renal disease",,,,,"true",,,,"1"
"http://snomed.info/sct","713825007","Renal artery stenosis of transplanted kidney",,,,,,"true",,,"1"
"http://snomed.info/sct","714153000","Chronic kidney disease stage 5 with transplant",,,"true",,,,,,"1"
"http://snomed.info/sct","718030008","Antegrade insertion of ureteric stent into ureter of transplanted kidney using fluoroscopic guidance",,,,,,,,"true","1"
"http://snomed.info/sct","718031007","Fluoroscopy guided retrograde insertion of ureteric stent into ureter of transplanted kidney",,,,,,,,"true","1"
"http://snomed.info/sct","719352000","Kidney transplant recipient (finding)",,,"true",,,,,,"1"
"http://snomed.info/sct","737295003","Transplanted kidney present (finding)",,,"true",,,,,,"1"
"http://snomed.info/sct","763471008","Fluoroscopic venogram of renal vein using contrast with insertion of metallic stent graft","true",,,,,,,,"1"
"http://snomed.info/sct","763471008","Fluoroscopic venography of renal vein using contrast with insertion of metallic stent graft","true",,,,,,,,"1"
"http://snomed.info/sct","763471008","Fluoroscopic venography of renal vein using contrast with insertion of metallic stent graft (procedure)","true",,,,,,,,"1"
"http://snomed.info/sct","764643003","Fluoroscopy guided removal of nephrostomy tube from transplanted kidney",,,,,,,,"true","1"
"http://snomed.info/sct","927531000000100","Ultrasonography of transplanted kidney with contrast (procedure)",,,,,,,,"true","1"
"http://snomed.info/sct","99591000119101","Hemorrhage associated with renal dialysis graft",,,,,,"true",,,"1"
"http://snomed.info/sct","70536003","Transplant of kidney (procedure)",,,"true",,,,,,"1"
"http://snomed.info/sct","782655004","Laparoscopic transplant of kidney using robotic assistance (procedure)",,,"true",,,,,,"1"
"http://snomed.info/sct","175901007","Live donor renal transplant (procedure)",,,"true",,,,,,"1"
"http://snomed.info/sct","175902000","Cadaveric renal transplant (procedure)",,,"true",,,,,,"1"
"http://snomed.info/sct","711411006","Allotransplantation of kidney from beating heart cadaver (procedure)",,,"true",,,,,,"1"
"http://snomed.info/sct","711413009","Allotransplantation of kidney from non-beating heart cadaver (procedure)",,,"true",,,,,,"1"
"http://snomed.info/sct","765478004","Allotransplantation of left kidney (procedure)",,,"true",,,,,,"1"
"http://snomed.info/sct","765479007","Allotransplantation of right kidney (procedure)",,,"true",,,,,,"1"
"http://snomed.info/sct","782655004","Laparoscopic transplant of kidney using robotic assistance (procedure)",,,"true",,,,,,"1"

